,RMSE,MAE
Random Forest,4451.921091093782,3356.855796428571
XGBoost,4893.358098472972,3781.071114676339
LightGBM,5088.063802869538,3830.010626928069
ANN,7915.088059219886,6506.173137555803
LSTM,6436.311055255176,5007.33447265625
CNN,6760.665056042933,5343.041015625
RNN,6529.185554110099,4802.71142578125
GRU,5867.268188859275,4843.30712890625
Prophet,9825.451186055972,9147.790922468046
